time,temp,humidity,wind_speed
1680445615782,284.92,72.0,4.63
1680446215941,285.04,72.0,4.63
1680446816045,285.11,72.0,4.63
1680447416247,284.89,71.0,3.6
1680448016447,284.89,71.0,3.6
1680448616568,284.88,70.0,3.6
1680449216818,284.78,71.0,4.12
1680449816943,284.43,71.0,4.12
1680450417224,284.57,71.0,4.12
1680451017425,284.5,71.0,4.12
1680451617601,284.05,71.0,3.09
1680452217767,284.05,71.0,3.09
1680452817959,284.17,70.0,3.6
1680453418106,284.2,70.0,5.14
1680454018293,284.2,70.0,5.14
1680454618417,283.75,71.0,5.14
1680455218565,283.48,73.0,5.14
1680455818766,283.4,75.0,5.14
1680456418967,283.4,75.0,5.14
1680457019168,283.26,75.0,5.14
1680457619336,283.12,76.0,4.63
1680458219467,282.84,77.0,4.63
1680458819612,282.84,77.0,4.63
1680459419836,282.31,76.0,4.63
1680460019941,282.24,76.0,4.63
1680460620084,281.92,77.0,4.63
1680461220489,281.92,77.0,4.63
1680461820680,281.99,78.0,4.63
1680462420939,281.52,80.0,4.12
1680463021137,281.45,81.0,4.12
1680463621399,281.17,81.0,4.12
1680464221542,281.17,81.0,3.6
1680464821640,281.17,81.0,3.6
1680465421782,280.58,83.0,3.6
1680466021979,280.47,83.0,3.6
1680466622155,280.77,82.0,3.6
1680467222344,280.22,85.0,3.6
1680467822543,280.56,83.0,3.6
1680468422744,280.56,83.0,3.6
1680469022904,280.24,83.0,3.6
1680469623089,280.3,83.0,2.57
1680470223290,280.3,83.0,2.57
1680470823403,280.13,84.0,3.6
1680471423604,280.13,84.0,3.6
1680472023799,280.13,84.0,3.09
1680472623906,279.99,84.0,3.09
1680473224107,279.95,84.0,3.09
1680473824355,279.92,84.0,3.09
1680474424531,279.92,84.0,3.09
1680475024723,279.92,84.0,3.09
1680475624874,279.81,84.0,3.09
1680476225070,279.81,84.0,3.09
1680476825259,279.67,85.0,3.09
1680477425447,279.67,85.0,3.09
1680478025638,279.6,84.0,3.09
1680478625788,279.6,84.0,3.09
1680479225956,279.6,84.0,3.09
1680479826129,279.67,84.0,3.09
1680480426272,279.55,85.0,3.09
1680481026412,279.55,85.0,2.57
1680481626603,279.56,84.0,2.57
1680482226772,279.39,84.0,2.57
1680482826987,279.49,84.0,2.57
1680483427116,279.49,84.0,2.57
1680484027314,279.35,85.0,2.57
1680484627426,279.35,86.0,2.57
1680485227619,279.49,84.0,2.57
1680485827809,279.49,84.0,2.57
1680486427946,279.8,85.0,2.57
1680487028070,279.55,85.0,2.57
1680487628260,279.4,87.0,2.57
1680488228501,279.33,86.0,2.57
1680488828699,279.47,86.0,2.57
1680489428841,279.47,86.0,2.57
1680490029034,279.85,86.0,2.57
1680490629240,279.85,86.0,2.57
1680491229432,279.85,86.0,2.57
1680491829545,280.03,87.0,3.09
1680492429747,280.09,87.0,3.09
1680493029936,280.09,87.0,3.09
1680493630134,280.02,87.0,3.09
1680494230315,280.02,87.0,3.09
1680494830530,280.18,88.0,3.09
1680495430725,280.18,88.0,3.09
1680496030918,280.2,87.0,3.13
1680496631076,280.13,87.0,3.13
1680497231276,280.27,87.0,2.68
1680497831457,280.27,87.0,2.68
1680498431645,280.14,91.0,3.13
1680499031779,280.66,84.0,3.09
1680499631903,280.66,84.0,3.09
1680500232099,280.8,83.0,2.57
1680500832288,280.8,83.0,2.57
1680501432449,280.8,82.0,2.57
1680502032637,280.93,83.0,2.57
1680502632772,281.17,83.0,3.6
1680503232989,281.17,83.0,3.6
1680503833177,281.28,83.0,3.6
1680504433313,281.28,83.0,3.6
1680505033466,281.28,85.0,5.14
1680505633578,281.42,84.0,5.14
1680506233778,281.42,84.0,5.14
1680506834018,281.52,82.0,5.14
1680507434333,281.84,81.0,5.14
1680508034437,281.84,81.0,5.66
1680508634629,282.24,80.0,5.66
1680509234770,282.38,80.0,5.66
1680509834952,282.45,79.0,5.66
1680510435102,282.69,78.0,6.69
1680511035298,282.69,78.0,6.69
1680511635467,282.69,78.0,6.69
1680512235590,282.31,79.0,5.66
1680512835768,282.31,79.0,5.66
1680513435936,282.24,80.0,5.66
1680514036044,282.24,80.0,5.14
1680514636222,282.65,79.0,5.14
1680515236418,282.65,79.0,5.14
1680515837288,282.86,79.0,5.66
1680516437520,282.73,79.0,5.66
1680517037710,282.73,79.0,5.66
1680517637909,282.83,78.0,6.17
1680518238099,282.83,79.0,6.17
1680518838301,282.83,79.0,6.17
1680519438427,282.72,79.0,6.17
1680520038623,282.83,79.0,6.17
1680520638841,282.93,79.0,6.69
1680521238964,282.93,79.0,6.69
1680521839206,282.93,79.0,6.69
1680522439392,283.01,79.0,6.69
1680523039534,283.33,78.0,5.66
1680523639734,283.19,78.0,5.66
1680524239838,283.19,78.0,5.66
1680524839942,283.19,78.0,5.66
1680525440133,283.3,78.0,5.66
1680526040330,283.59,78.0,4.63
1680526640490,283.64,76.0,6.17
1680527240682,283.98,76.0,6.17
1680527840874,284.05,77.0,4.02
1680528441115,284.05,77.0,5.36
1680529041312,283.87,78.0,6.17
1680529641450,284.18,77.0,7.2
1680530241647,284.18,77.0,7.2
1680530841773,284.33,75.0,7.2
1680531442082,284.42,74.0,7.72
1680532042216,284.42,74.0,7.72
1680532642408,284.42,74.0,7.72
1680533242593,284.51,72.0,7.2
1680533842769,284.51,72.0,7.2
1680534442968,284.63,72.0,7.2
1680535043166,284.49,72.0,7.2
1680535643338,284.27,73.0,6.71
1680536243455,284.55,72.0,6.71
1680536843673,284.62,72.0,6.71
1680537443818,284.8,71.0,6.71
1680538043940,284.43,72.0,6.71
1680538644136,284.43,72.0,6.71
1680539244334,284.63,71.0,6.71
1680539844453,284.43,72.0,6.17
1680540444651,284.34,70.0,5.66
1680541044775,284.34,70.0,5.66
1680541644936,284.13,71.0,5.66
1680542245127,284.13,71.0,5.66
1680542845313,284.08,71.0,5.66
1680543445443,283.72,72.0,5.66
1680544045584,283.34,73.0,5.14
1680544645781,283.34,73.0,5.14
1680545245957,283.2,75.0,5.14
1680545846151,283.12,75.0,5.14
1680546446311,282.93,75.0,4.12
1680547046458,282.33,76.0,4.12
1680547646610,282.08,78.0,4.12
1680548246824,282.08,78.0,4.12
1680548846977,281.67,78.0,4.12
1680549447175,281.51,78.0,3.09
1680550047367,281.42,78.0,3.09
1680550647459,281.42,78.0,3.09
1680551247654,280.41,81.0,3.09
1680551847821,280.37,81.0,3.09
1680552447996,280.34,82.0,3.09
1680553048201,280.34,82.0,3.09
1680553648449,280.0,84.0,3.09
1680554248725,279.78,85.0,3.09
1680554848897,279.78,84.0,2.68
1680555449091,279.78,84.0,2.68
1680556049282,279.68,84.0,2.68
1680556649455,279.68,84.0,2.68
1680557249640,279.46,85.0,1.54
1680557849774,279.28,85.0,1.54
1680558449961,279.28,84.0,1.54
1680559050159,279.01,84.0,1.54
1680559650279,279.01,84.0,1.54
1680560250435,278.91,86.0,1.79
1680560371424,278.91,86.0,1.79
1680560376039,278.91,86.0,1.79
1680560850568,278.98,85.0,2.06
1680560976186,278.98,85.0,2.06
1680561450753,279.01,85.0,2.06
1680561576312,279.01,85.0,2.06
1680562050989,279.01,85.0,3.6
1680562176474,279.01,85.0,3.6
1680562651111,279.01,85.0,3.6
1680562776629,279.01,85.0,3.6
1680563251263,279.01,85.0,3.6
1680563851465,279.13,84.0,4.12
1680564451674,278.98,85.0,4.12
1680565051802,279.13,85.0,4.12
1680565652026,279.13,85.0,4.12
1680566252226,278.99,85.0,4.12
1680566852423,279.53,82.0,4.12
1680567452636,279.53,82.0,4.12
1680568052779,279.55,81.0,3.09
1680568652995,278.9,84.0,3.09
1680569253191,278.9,84.0,3.09
1680569853318,278.9,83.0,3.09
1680570453492,279.38,81.0,3.09
1680571053682,278.69,85.0,3.09
1680571653875,279.72,79.0,1.79
1680572254072,279.72,78.0,1.54
1680572854248,279.92,77.0,2.57
1680573454429,279.99,77.0,2.57
1680574054656,280.14,77.0,2.57
1680574654775,280.14,77.0,2.57
1680575254951,280.17,77.0,2.57
1680575855122,280.31,76.0,2.57
1680576455315,280.38,76.0,2.57
1680577055459,279.65,78.0,1.79
1680577655653,280.44,77.0,1.79
1680578255849,280.44,77.0,1.34
1680578856037,280.29,77.0,2.06
1680579456311,280.27,75.0,2.24
1680580056449,280.39,75.0,2.06
1680580656605,280.39,75.0,2.06
1680581256782,280.04,78.0,2.06
1680581856927,280.04,78.0,2.06
1680582457091,280.52,77.0,2.06
1680583057281,280.34,79.0,2.57
1680583657486,280.39,78.0,2.57
1680584257683,280.39,78.0,2.57
